id,title,answer,expected_filename
animal_seahorse_vi_3_5,Con cá ngựa,Con cá ngựa,seahorse.webp
animal_jellyfish_vi_3_5,Con sứa,Con sứa,jellyfish.webp
animal_coral_vi_3_5,San hô,San hô,coral.webp
animal_sea_snail_vi_3_5,Con ốc biển,Con ốc biển,sea_snail.webp
animal_clam_vi_3_5,Con ngao,Con ngao,clam.webp
animal_shellfish_vi_3_5,Con sò,Con sò,shellfish.webp
animal_buffalo_vi_3_5,Con trâu,Con trâu,buffalo.webp
animal_goat_vi_3_5,Con dê,Con dê,goat.webp
animal_donkey_vi_3_5,Con lừa,Con lừa,donkey.webp
animal_alpaca_vi_3_5,Con alpaca,Con alpaca,alpaca.webp
animal_llama_vi_3_5,Con lạc đà không bướu,Con lạc đà không bướu,llama.webp
animal_reindeer_vi_3_5,Con tuần lộc,Con tuần lộc,reindeer.webp
animal_polar_bear_vi_3_5,Con gấu bắc cực,Con gấu bắc cực,polar_bear.webp
animal_fox_vi_3_5,Con cáo,Con cáo,fox.webp
animal_raccoon_vi_3_5,Con gấu mèo,Con gấu mèo,raccoon.webp
animal_ferret_vi_3_5,Con chồn,Con chồn,ferret.webp
animal_beaver_vi_3_5,Con hải ly,Con hải ly,beaver.webp
animal_antelope_vi_3_5,Con linh dương,Con linh dương,antelope.webp
animal_lynx_vi_3_5,Con linh miêu,Con linh miêu,lynx.webp
animal_ostrich_vi_3_5,Con đà điểu,Con đà điểu,ostrich.webp
animal_kiwi_vi_3_5,Con chim kiwi,Con chim kiwi,kiwi.webp
animal_emperor_penguin_vi_3_5,Con chim cánh cụt hoàng đế,Con chim cánh cụt hoàng đế,emperor_penguin.webp
animal_snake_vi_3_5,Con rắn,Con rắn,snake.webp
animal_lizard_vi_3_5,Con thằn lằn,Con thằn lằn,lizard.webp
animal_gecko_vi_3_5,Con tắc kè,Con tắc kè,gecko.webp
animal_iguana_vi_3_5,Con kỳ nhông,Con kỳ nhông,iguana.webp
animal_monitor_lizard_vi_3_5,Con kỳ đà,Con kỳ đà,monitor_lizard.webp
animal_manta_ray_vi_3_5,Con cá đuối,Con cá đuối,manta_ray.webp
