id,title,shortVideoScript,imagePrompt
animal_monkey_vi_3_5,Con khỉ,"Đố bé biết: Con gì leo trèo rất nhanh, ... Đáp án là Con khỉ!","Cute con khỉ for preschool educational content, simple children's book illustration."
animal_lion_vi_3_5,Con sư tử,"Đố bé biết: Con gì bờm lớn quanh đầu, ... Đáp án là Con sư tử!","Cute con sư tử for preschool educational content, simple children's book illustration."
animal_penguin_vi_3_5,Con chim cánh cụt,"Đố bé biết: Con gì mặc áo trắng đen, ... Đáp án là Con chim cánh cụt!","Cute con chim cánh cụt for preschool educational content, simple children's book illustration."
animal_snail_vi_3_5,Con ốc sên,"Đố bé biết: Con gì mang nhà trên lưng, ... Đáp án là Con ốc sên!","Cute con ốc sên for preschool educational content, simple children's book illustration."
animal_giraffe_vi_3_5,Con hươu cao cổ,"Đố bé biết: Con gì cổ thật dài, vươn lên ăn lá trên cao? Đáp án là con hươu cao cổ!","Cute giraffe with a long neck standing in a green savanna, simple preschool children book illustration."
animal_dolphin_vi_3_5,Con cá heo,Con gì bơi nhanh dưới biển xanh và hay nhảy lên khỏi mặt nước? Đáp án là con cá heo!,"Cute dolphin jumping above blue waves, friendly preschool educational illustration."
animal_whale_vi_3_5,Con cá voi,"Con gì thật to, bơi trong biển rộng và phun nước trắng xóa? Đáp án là con cá voi!","Gentle whale spraying water in the ocean, simple cute preschool illustration."
animal_shark_vi_3_5,Con cá mập,"Đố bé biết: Con gì có vây lưng, bơi giữa biển sâu? Đáp án là con cá mập!","Friendly simplified shark swimming in the ocean, non-scary preschool educational illustration."
animal_starfish_vi_3_5,Con sao biển,Con gì giống ngôi sao nhỏ nằm bên bờ biển? Đáp án là con sao biển!,"Cute starfish on sandy beach, simple preschool coloring-friendly illustration."
animal_crab_vi_3_5,Con cua,Con gì có hai càng và đi ngang trên bãi cát? Đáp án là con cua!,"Cute crab with two claws walking sideways on sand, simple preschool illustration."
animal_shrimp_vi_3_5,Con tôm,"Con gì thân cong cong, có đôi râu dài và sống dưới nước? Đáp án là con tôm!","Cute shrimp with long antennae swimming underwater, simple preschool illustration."
animal_squid_vi_3_5,Con mực,"Con gì thân mềm, có nhiều tay nhỏ và bơi dưới biển? Đáp án là con mực!","Cute squid swimming in the ocean with soft arms, simple preschool illustration."
animal_octopus_vi_3_5,Con bạch tuộc,Con gì có tám tay mềm và sống dưới biển? Đáp án là con bạch tuộc!,"Cute octopus with eight soft arms under the sea, friendly preschool illustration."
animal_zebra_vi_3_5,Con ngựa vằn,Con gì giống ngựa và mặc áo sọc đen trắng? Đáp án là con ngựa vằn!,"Cute zebra with black and white stripes standing in grassland, simple preschool illustration."
animal_deer_vi_3_5,Con hươu,"Con gì chân thon, chạy nhanh và ăn lá cây? Đáp án là con hươu!","Gentle deer standing in a green forest, cute preschool educational illustration."
animal_stag_vi_3_5,Con nai,"Con gì dáng nhẹ, sống trong rừng và thích ăn lá? Đáp án là con nai!","Cute gentle deer in a forest clearing, simple preschool illustration."
animal_bear_vi_3_5,Con gấu,"Con gì thân lớn, lông dày và sống trong rừng? Đáp án là con gấu!","Friendly cute bear with thick fur in a forest, non-scary preschool illustration."
animal_panda_vi_3_5,Con gấu trúc,Con gì lông đen trắng và thích ăn tre? Đáp án là con gấu trúc!,"Cute panda holding bamboo, black and white preschool educational illustration."
animal_tiger_vi_3_5,Con hổ,Con gì áo cam vằn đen và sống trong rừng? Đáp án là con hổ!,"Friendly simplified tiger with orange fur and black stripes in forest, preschool illustration."
animal_leopard_vi_3_5,Con báo,Con gì chạy nhanh và có nhiều đốm trên lông? Đáp án là con báo!,"Cute leopard with spots in a forest, friendly non-scary preschool illustration."
animal_wolf_vi_3_5,Con sói,"Con gì tai nhọn, đuôi dài và thường sống theo bầy? Đáp án là con sói!","Friendly simplified wolf with pointed ears in a forest, non-scary preschool illustration."
animal_crocodile_vi_3_5,Con cá sấu,"Con gì da sần, đuôi dài và sống gần nước? Đáp án là con cá sấu!","Friendly simplified crocodile near water, non-scary preschool educational illustration."
animal_hippo_vi_3_5,Con hà mã,"Con gì thân to, miệng rộng và thích ở gần sông hồ? Đáp án là con hà mã!","Cute hippo in a pond with wide mouth, simple preschool illustration."
animal_rhino_vi_3_5,Con tê giác,"Con gì thân lớn, da dày và có sừng trên mũi? Đáp án là con tê giác!","Cute rhinoceros with a horn standing in grassland, simple preschool illustration."
animal_camel_vi_3_5,Con lạc đà,Đố bé biết: Con gì có bướu trên lưng và đi giữa sa mạc? Đáp án là con lạc đà!,"Cute camel with a hump walking on sandy desert, simple preschool children book illustration."
animal_kangaroo_vi_3_5,Con chuột túi,Con gì nhảy thật xa và có chiếc túi trước bụng? Đáp án là con chuột túi!,"Cute kangaroo hopping with a pouch, simple preschool educational illustration."
animal_koala_vi_3_5,Con gấu túi,Con gì ôm cành cây và ngủ ngoan giữa rừng lá? Đáp án là con gấu túi!,"Cute koala hugging a tree branch, simple preschool children book illustration."
animal_squirrel_vi_3_5,Con sóc,"Con gì đuôi xù, leo cây nhanh và thích ôm hạt nhỏ? Đáp án là con sóc!","Cute squirrel with fluffy tail holding a nut on a tree branch, preschool illustration."
animal_mouse_vi_3_5,Con chuột,"Con gì nhỏ xíu, chạy nhanh và có ria dài? Đáp án là con chuột!","Cute small mouse with whiskers, simple friendly preschool illustration."
animal_porcupine_vi_3_5,Con nhím,Con gì có nhiều gai trên lưng để tự bảo vệ? Đáp án là con nhím!,"Cute porcupine with soft-looking quills, friendly preschool educational illustration."
animal_bat_vi_3_5,Con dơi,"Con gì cánh mỏng, bay ban đêm và ngủ ngược? Đáp án là con dơi!","Friendly cute bat flying under the moon, non-scary preschool illustration."
animal_owl_vi_3_5,Con cú mèo,"Con gì mắt tròn to, đậu trên cành vào ban đêm? Đáp án là con cú mèo!","Cute owl with big round eyes sitting on a branch, preschool illustration."
animal_eagle_vi_3_5,Con đại bàng,"Con gì cánh rộng, bay cao trên bầu trời? Đáp án là con đại bàng!","Cute eagle with wide wings flying in blue sky, simple preschool illustration."
animal_peacock_vi_3_5,Con chim công,Con gì có chiếc đuôi xòe nhiều màu như cái quạt? Đáp án là con chim công!,"Cute peacock spreading colorful tail feathers, preschool educational illustration."
animal_sparrow_vi_3_5,Con chim sẻ,"Con gì nhỏ bé, bay nhanh và líu lo trên cành? Đáp án là con chim sẻ!","Cute small sparrow perched on a branch, simple preschool illustration."
animal_pigeon_vi_3_5,Con chim bồ câu,Con gì gật gù trên sân và bay về mái nhà? Đáp án là con chim bồ câu!,"Cute pigeon standing in a yard, gentle preschool educational illustration."
animal_flamingo_vi_3_5,Con chim hồng hạc,"Con gì chân dài màu hồng, đứng bên hồ nước? Đáp án là con chim hồng hạc!","Cute pink flamingo standing by a lake, simple preschool illustration."
animal_parrot_vi_3_5,Con vẹt,"Con gì lông nhiều màu, đậu trên cành và có mỏ cong? Đáp án là con vẹt!","Cute colorful parrot sitting on a branch, preschool educational illustration."
animal_swan_vi_3_5,Con thiên nga,"Con gì cổ dài trắng xinh, bơi trên hồ nước? Đáp án là con thiên nga!","Cute white swan with long neck swimming on a lake, preschool illustration."
animal_goose_vi_3_5,Con ngỗng,"Con gì cổ dài, kêu vang và biết bơi gần ao? Đáp án là con ngỗng!","Cute goose with long neck walking near a pond, preschool illustration."
animal_turkey_vi_3_5,Con gà tây,Con gì có chiếc đuôi xòe tròn trong nông trại? Đáp án là con gà tây!,"Cute turkey spreading tail feathers on a farm, simple preschool illustration."
animal_ant_vi_3_5,Con kiến,"Con gì bé xíu, chăm ngoan và đi thành hàng? Đáp án là con kiến!","Cute ants walking in a line toward an anthill, preschool educational illustration."
animal_mosquito_vi_3_5,Con muỗi,Con gì nhỏ xíu bay vo ve quanh tai? Đáp án là con muỗi! Bé nhớ tránh để muỗi đốt nhé.,"Simple non-scary mosquito with small wings, preschool safety illustration."
animal_fly_vi_3_5,Con ruồi,Con gì bay vù quanh nhà và nhắc bé giữ vệ sinh? Đáp án là con ruồi!,"Simple non-scary fly with wings, preschool hygiene educational illustration."
animal_dragonfly_vi_3_5,Con chuồn chuồn,"Con gì cánh mỏng, bay nhanh quanh bờ ao? Đáp án là con chuồn chuồn!","Cute dragonfly with transparent wings resting on grass near a pond, preschool illustration."
animal_grasshopper_vi_3_5,Con châu chấu,"Con gì chân sau dài, bật nhảy thật xa trong bãi cỏ? Đáp án là con châu chấu!","Cute green grasshopper with long back legs on grass, preschool educational illustration."
animal_ladybug_vi_3_5,Con bọ rùa,"Con gì lưng đỏ có chấm đen, bò trên lá cây? Đáp án là con bọ rùa!","Cute red ladybug with black spots on a green leaf, preschool illustration."
animal_praying_mantis_vi_3_5,Con bọ ngựa,"Con gì màu xanh, có hai chân trước gập lại rất lạ? Đáp án là con bọ ngựa!","Cute green praying mantis on a branch, friendly preschool educational illustration."
animal_earthworm_vi_3_5,Con giun đất,Con gì thân mềm sống trong đất và giúp đất tơi hơn? Đáp án là con giun đất!,"Cute earthworm in soil near a small sprout, preschool nature illustration."
animal_caterpillar_vi_3_5,Con sâu bướm,Con gì mềm mềm bò trên lá và có thể lớn lên thành bướm? Đáp án là con sâu bướm!,"Cute caterpillar crawling on a green leaf, preschool educational illustration."
animal_silkworm_vi_3_5,Con tằm,Con gì ăn lá dâu và tạo chiếc kén nhỏ? Đáp án là con tằm!,"Cute silkworm on mulberry leaf with a small cocoon, preschool illustration."
animal_spider_vi_3_5,Con nhện,Con gì có tám chân và biết chăng tơ? Đáp án là con nhện!,"Friendly cute spider on a simple web, non-scary preschool illustration."
animal_beetle_vi_3_5,Con bọ cánh cứng,Con gì có lớp vỏ cứng bóng và bò trên lá cây? Đáp án là con bọ cánh cứng!,"Cute beetle with shiny hard shell on a leaf, preschool educational illustration."
animal_seal_vi_3_5,Con hải cẩu,"Con gì thân tròn, bơi giỏi và nằm nghỉ bên biển? Đáp án là con hải cẩu!","Cute seal resting near the sea, simple preschool illustration."
animal_sea_lion_vi_3_5,Con sư tử biển,"Con gì có râu dài, bơi giỏi và nghỉ trên bờ biển? Đáp án là con sư tử biển!","Cute sea lion with whiskers resting on rocks by the sea, preschool illustration."
animal_otter_vi_3_5,Con rái cá,"Con gì thân dài, bơi nhanh trong dòng sông? Đáp án là con rái cá!","Cute otter swimming in a river, simple preschool educational illustration."
animal_seahorse_vi_3_5,Con cá ngựa,Con gì dáng giống ngựa nhỏ nhưng sống dưới biển? Đáp án là con cá ngựa!,"Cute seahorse with curled tail near seaweed, preschool illustration."
animal_jellyfish_vi_3_5,Con sứa,"Con gì thân mềm trong suốt, trôi trong biển? Đáp án là con sứa! Bé nhớ không chạm vào sứa nhé.","Simple non-scary jellyfish with soft tentacles underwater, preschool safety illustration."
animal_coral_vi_3_5,San hô,Sinh vật gì có nhiều nhánh dưới đáy biển và tạo nơi cho cá nhỏ trú ẩn? Đáp án là san hô!,"Colorful coral reef with small fish, simple preschool ocean illustration."
animal_sea_snail_vi_3_5,Con ốc biển,"Con gì có vỏ xoắn, bò chậm bên bờ biển? Đáp án là con ốc biển!","Cute sea snail with spiral shell on sandy beach, preschool illustration."
animal_clam_vi_3_5,Con ngao,Con gì có hai mảnh vỏ và nằm trong cát biển? Đáp án là con ngao!,"Cute clam with two shells in beach sand, preschool illustration."
animal_shellfish_vi_3_5,Con sò,Con gì có vỏ cứng nằm bên bờ cát biển? Đáp án là con sò!,"Cute seashell clam on sandy beach, simple preschool ocean illustration."
animal_buffalo_vi_3_5,Con trâu,"Con gì thân khỏe, có sừng cong và sống gần đồng ruộng? Đáp án là con trâu!","Cute buffalo with curved horns standing in a rice field, preschool rural illustration."
animal_goat_vi_3_5,Con dê,Con gì có râu nhỏ dưới cằm và thích leo trên sườn đồi? Đáp án là con dê!,"Cute goat with small beard standing on a hillside, preschool illustration."
animal_donkey_vi_3_5,Con lừa,"Con gì tai dài, bước đi chắc chắn trong nông trại? Đáp án là con lừa!","Cute donkey with long ears standing on a farm, simple preschool illustration."
animal_alpaca_vi_3_5,Con alpaca,"Con gì lông mềm xù, cổ dài, giống lạc đà nhỏ? Đáp án là con alpaca!","Cute fluffy alpaca with long neck on a farm, preschool educational illustration."
animal_llama_vi_3_5,Con lạc đà không bướu,Con gì giống lạc đà nhỏ nhưng không có bướu? Đáp án là con lạc đà không bướu!,"Cute llama with long neck in mountain farm, simple preschool illustration."
animal_reindeer_vi_3_5,Con tuần lộc,Con gì có sừng phân nhánh và sống ở vùng lạnh? Đáp án là con tuần lộc!,"Cute reindeer with antlers standing in snowy landscape, preschool illustration."
animal_polar_bear_vi_3_5,Con gấu bắc cực,"Con gì lông trắng, sống ở vùng băng tuyết lạnh? Đáp án là con gấu bắc cực!","Friendly polar bear with white fur on ice, non-scary preschool illustration."
animal_fox_vi_3_5,Con cáo,"Con gì có đuôi xù, tai nhọn và chạy nhanh trong rừng? Đáp án là con cáo!","Cute fox with fluffy tail in a forest, friendly preschool illustration."
animal_raccoon_vi_3_5,Con gấu mèo,Con gì có đuôi khoang và vệt đen quanh mắt? Đáp án là con gấu mèo!,"Cute raccoon with striped tail and dark face mask, preschool illustration."
animal_ferret_vi_3_5,Con chồn,Con gì thân dài nhỏ và chạy nhanh qua bụi cây? Đáp án là con chồn!,"Cute ferret-like weasel with long body near bushes, preschool illustration."
animal_beaver_vi_3_5,Con hải ly,Con gì có đuôi bẹt và dùng cành cây làm nhà gần nước? Đáp án là con hải ly!,"Cute beaver with flat tail holding a branch near a stream, preschool illustration."
animal_antelope_vi_3_5,Con linh dương,"Con gì chân dài, chạy nhanh trên đồng cỏ? Đáp án là con linh dương!","Cute antelope with long legs running in grassland, preschool illustration."
animal_lynx_vi_3_5,Con linh miêu,"Con gì giống mèo rừng, có tai nhọn với chùm lông? Đáp án là con linh miêu!","Friendly lynx with pointed tufted ears in a snowy forest, preschool illustration."
animal_ostrich_vi_3_5,Con đà điểu,"Con gì là chim lớn, chân dài và chạy rất nhanh? Đáp án là con đà điểu!","Cute ostrich with long legs standing in grassland, preschool illustration."
animal_kiwi_vi_3_5,Con chim kiwi,"Tên nghe giống quả kiwi, nhưng đây là một loài chim nhỏ có mỏ dài. Đáp án là chim kiwi!","Cute kiwi bird with round body and long beak near bushes, preschool illustration."
animal_emperor_penguin_vi_3_5,Con chim cánh cụt hoàng đế,"Con gì áo trắng đen, sống nơi băng lạnh và bơi rất giỏi? Đáp án là chim cánh cụt hoàng đế!","Cute emperor penguin standing on ice, simple preschool educational illustration."
animal_snake_vi_3_5,Con rắn,"Con gì thân dài không chân, bò qua bụi cỏ? Đáp án là con rắn! Bé nhớ đứng xa và gọi người lớn.","Simple non-scary snake crawling through grass, preschool safety illustration."
animal_lizard_vi_3_5,Con thằn lằn,"Con gì đuôi dài, chạy nhanh trên bờ tường? Đáp án là con thằn lằn!","Cute small lizard with long tail on a wall, preschool illustration."
animal_gecko_vi_3_5,Con tắc kè,Con gì bám tường rất giỏi và kêu tắc kè? Đáp án là con tắc kè!,"Cute gecko sticking to a wall, simple preschool illustration."
animal_iguana_vi_3_5,Con kỳ nhông,Con gì có mào nhỏ trên lưng và nằm trên cành cây? Đáp án là con kỳ nhông!,"Cute iguana with small crest resting on a branch, preschool illustration."
animal_monitor_lizard_vi_3_5,Con kỳ đà,"Con gì giống thằn lằn nhưng to hơn, có đuôi khỏe? Đáp án là con kỳ đà!","Friendly monitor lizard with long body and strong tail near forest edge, preschool illustration."
animal_manta_ray_vi_3_5,Con cá đuối,"Con gì thân dẹt, vây rộng, bơi êm dưới biển? Đáp án là con cá đuối!","Cute manta ray with wide fins swimming under the sea, preschool ocean illustration."
