id,title,frontText,backAnswer,fact,vocabulary,quizQuestion
animal_bird_vi_3_5,Con chim,"Con gì có cánh bay cao, Hót vang líu lo trên cành. Làm tổ nhỏ xinh trên cây, Bé đoán ra thật nhanh?",Con chim,"Chim có cánh, nhiều loài biết bay và hót.",chim; cánh; hót; tổ,Con chim có đặc điểm gì nổi bật?
animal_horse_vi_3_5,Con ngựa,"Con gì chạy rất là nhanh, Bờm bay theo gió trong lành. Có bốn chân dài khỏe mạnh, Bé đoán tên thật nhanh?",Con ngựa,Ngựa chạy nhanh và từng giúp con người di chuyển.,ngựa; bờm; chạy; bốn chân,Con ngựa có đặc điểm gì nổi bật?
animal_pig_vi_3_5,Con heo,"Con gì mũi tròn ủn ỉn, Thích ăn no rồi nằm im. Thân hồng hồng thật dễ mến, Bé đoán tên con gì?",Con heo,Heo có chiếc mũi đặc biệt và thường kêu ụt ịt.,heo; mũi; ụt ịt; ăn,Con heo có đặc điểm gì nổi bật?
animal_bee_vi_3_5,Con ong,"Con gì chăm chỉ bay quanh, Tìm hoa trong nắng long lanh. Làm mật ngọt thơm cho bé, Tên gì bé nói nhanh?",Con ong,Ong lấy mật hoa và giúp hoa thụ phấn.,ong; mật; hoa; chăm chỉ,Con ong có đặc điểm gì nổi bật?
animal_butterfly_vi_3_5,Con bướm,"Con gì cánh mỏng nhiều màu, Bay quanh vườn nhỏ trước sau. Đậu lên bông hoa xinh xắn, Bé đoán được tên nào?",Con bướm,Bướm có đôi cánh đẹp và thường bay quanh hoa.,bướm; cánh; hoa; màu sắc,Con bướm có đặc điểm gì nổi bật?
animal_turtle_vi_3_5,Con rùa,"Con gì mai cứng trên lưng, Đi chậm chậm chẳng vội mừng. Gặp nguy hiểm liền rụt cổ, Bé đoán tên con đúng?",Con rùa,Rùa có mai cứng giúp bảo vệ cơ thể.,rùa; mai; chậm; rụt cổ,Con rùa có đặc điểm gì nổi bật?
animal_monkey_vi_3_5,Con khỉ,"Con gì leo trèo rất nhanh, Đu cây trong rừng xanh xanh. Thích ăn chuối vàng thơm ngọt, Bé đoán tên thật nhanh?",Con khỉ,Khỉ leo trèo giỏi và sống theo bầy đàn.,khỉ; chuối; leo trèo; rừng,Con khỉ có đặc điểm gì nổi bật?
animal_lion_vi_3_5,Con sư tử,"Con gì bờm lớn quanh đầu, Gầm vang giữa thảo nguyên sâu. Được gọi vua của muôn thú, Bé đoán tên là đâu?",Con sư tử,Sư tử sống theo bầy và có tiếng gầm rất lớn.,sư tử; bờm; gầm; thảo nguyên,Con sư tử có đặc điểm gì nổi bật?
animal_penguin_vi_3_5,Con chim cánh cụt,"Con gì mặc áo trắng đen, Đi lạch bạch trên băng mềm. Không bay nhưng bơi rất giỏi, Bé đoán tên thật quen?",Con chim cánh cụt,Chim cánh cụt không bay nhưng bơi rất giỏi.,chim cánh cụt; băng; bơi; trắng đen,Con chim cánh cụt có đặc điểm gì nổi bật?
animal_snail_vi_3_5,Con ốc sên,"Con gì mang nhà trên lưng, Đi rất chậm dưới lá rừng. Sau mưa bò ra khe khẽ, Bé đoán tên đúng không?",Con ốc sên,Ốc sên có vỏ trên lưng để bảo vệ cơ thể mềm.,ốc sên; vỏ; chậm; sau mưa,Con ốc sên có đặc điểm gì nổi bật?
