id,title,frontText,backAnswer,fact,vocabulary,quizQuestion
animal_bird_vi_3_5,Con chim,"Con gì có cánh bay cao, Hót vang líu lo trên cành. Làm tổ nhỏ xinh trên cây, Bé đoán ra thật nhanh?",Con chim,"Chim có cánh, nhiều loài biết bay và hót.",chim; cánh; hót; tổ,Con chim có đặc điểm gì nổi bật?
animal_horse_vi_3_5,Con ngựa,"Con gì chạy rất là nhanh, Bờm bay theo gió trong lành. Có bốn chân dài khỏe mạnh, Bé đoán tên thật nhanh?",Con ngựa,Ngựa chạy nhanh và từng giúp con người di chuyển.,ngựa; bờm; chạy; bốn chân,Con ngựa có đặc điểm gì nổi bật?
animal_pig_vi_3_5,Con heo,"Con gì mũi tròn ủn ỉn, Thích ăn no rồi nằm im. Thân hồng hồng thật dễ mến, Bé đoán tên con gì?",Con heo,Heo có chiếc mũi đặc biệt và thường kêu ụt ịt.,heo; mũi; ụt ịt; ăn,Con heo có đặc điểm gì nổi bật?
animal_bee_vi_3_5,Con ong,"Con gì chăm chỉ bay quanh, Tìm hoa trong nắng long lanh. Làm mật ngọt thơm cho bé, Tên gì bé nói nhanh?",Con ong,Ong lấy mật hoa và giúp hoa thụ phấn.,ong; mật; hoa; chăm chỉ,Con ong có đặc điểm gì nổi bật?
animal_butterfly_vi_3_5,Con bướm,"Con gì cánh mỏng nhiều màu, Bay quanh vườn nhỏ trước sau. Đậu lên bông hoa xinh xắn, Bé đoán được tên nào?",Con bướm,Bướm có đôi cánh đẹp và thường bay quanh hoa.,bướm; cánh; hoa; màu sắc,Con bướm có đặc điểm gì nổi bật?
animal_turtle_vi_3_5,Con rùa,"Con gì mai cứng trên lưng, Đi chậm chậm chẳng vội mừng. Gặp nguy hiểm liền rụt cổ, Bé đoán tên con đúng?",Con rùa,Rùa có mai cứng giúp bảo vệ cơ thể.,rùa; mai; chậm; rụt cổ,Con rùa có đặc điểm gì nổi bật?
animal_monkey_vi_3_5,Con khỉ,"Con gì leo trèo rất nhanh, Đu cây trong rừng xanh xanh. Thích ăn chuối vàng thơm ngọt, Bé đoán tên thật nhanh?",Con khỉ,Khỉ leo trèo giỏi và sống theo bầy đàn.,khỉ; chuối; leo trèo; rừng,Con khỉ có đặc điểm gì nổi bật?
animal_lion_vi_3_5,Con sư tử,"Con gì bờm lớn quanh đầu, Gầm vang giữa thảo nguyên sâu. Được gọi vua của muôn thú, Bé đoán tên là đâu?",Con sư tử,Sư tử sống theo bầy và có tiếng gầm rất lớn.,sư tử; bờm; gầm; thảo nguyên,Con sư tử có đặc điểm gì nổi bật?
animal_penguin_vi_3_5,Con chim cánh cụt,"Con gì mặc áo trắng đen, Đi lạch bạch trên băng mềm. Không bay nhưng bơi rất giỏi, Bé đoán tên thật quen?",Con chim cánh cụt,Chim cánh cụt không bay nhưng bơi rất giỏi.,chim cánh cụt; băng; bơi; trắng đen,Con chim cánh cụt có đặc điểm gì nổi bật?
animal_snail_vi_3_5,Con ốc sên,"Con gì mang nhà trên lưng, Đi rất chậm dưới lá rừng. Sau mưa bò ra khe khẽ, Bé đoán tên đúng không?",Con ốc sên,Ốc sên có vỏ trên lưng để bảo vệ cơ thể mềm.,ốc sên; vỏ; chậm; sau mưa,Con ốc sên có đặc điểm gì nổi bật?
animal_giraffe_vi_3_5,Con hươu cao cổ,"Con gì có cổ dài, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hươu cao cổ,Con hươu cao cổ có cổ dài và thường được bé nhận ra ở đồng cỏ.,hươu cao cổ; cổ dài; đồng cỏ; con vật,Con hươu cao cổ có đặc điểm gì nổi bật?
animal_dolphin_vi_3_5,Con cá heo,"Con gì có bơi nhanh, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá heo,Con cá heo có bơi nhanh và thường được bé nhận ra ở biển.,cá heo; bơi nhanh; biển; con vật,Con cá heo có đặc điểm gì nổi bật?
animal_whale_vi_3_5,Con cá voi,"Con gì có thân to, Sống ở đại dương thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá voi,Con cá voi có thân to và thường được bé nhận ra ở đại dương.,cá voi; thân to; đại dương; con vật,Con cá voi có đặc điểm gì nổi bật?
animal_shark_vi_3_5,Con cá mập,"Con gì có vây lưng, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá mập,Con cá mập có vây lưng và thường được bé nhận ra ở biển.,cá mập; vây lưng; biển; con vật,Con cá mập có đặc điểm gì nổi bật?
animal_starfish_vi_3_5,Con sao biển,"Con gì có hình ngôi sao, Sống ở bờ biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sao biển,Con sao biển có hình ngôi sao và thường được bé nhận ra ở bờ biển.,sao biển; hình ngôi sao; bờ biển; con vật,Con sao biển có đặc điểm gì nổi bật?
animal_crab_vi_3_5,Con cua,"Con gì có hai càng, Sống ở bãi cát thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cua,Con cua có hai càng và thường được bé nhận ra ở bãi cát.,cua; hai càng; bãi cát; con vật,Con cua có đặc điểm gì nổi bật?
animal_shrimp_vi_3_5,Con tôm,"Con gì có râu dài, Sống ở dưới nước thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con tôm,Con tôm có râu dài và thường được bé nhận ra ở dưới nước.,tôm; râu dài; dưới nước; con vật,Con tôm có đặc điểm gì nổi bật?
animal_squid_vi_3_5,Con mực,"Con gì có thân mềm, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con mực,Con mực có thân mềm và thường được bé nhận ra ở biển.,mực; thân mềm; biển; con vật,Con mực có đặc điểm gì nổi bật?
animal_octopus_vi_3_5,Con bạch tuộc,"Con gì có nhiều tay, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con bạch tuộc,Con bạch tuộc có nhiều tay và thường được bé nhận ra ở biển.,bạch tuộc; nhiều tay; biển; con vật,Con bạch tuộc có đặc điểm gì nổi bật?
animal_zebra_vi_3_5,Con ngựa vằn,"Con gì có vằn đen trắng, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con ngựa vằn,Con ngựa vằn có vằn đen trắng và thường được bé nhận ra ở đồng cỏ.,ngựa vằn; vằn đen trắng; đồng cỏ; con vật,Con ngựa vằn có đặc điểm gì nổi bật?
animal_deer_vi_3_5,Con hươu,"Con gì có chân thon, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hươu,Con hươu có chân thon và thường được bé nhận ra ở rừng.,hươu; chân thon; rừng; con vật,Con hươu có đặc điểm gì nổi bật?
animal_stag_vi_3_5,Con nai,"Con gì có dáng nhẹ, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con nai,Con nai có dáng nhẹ và thường được bé nhận ra ở rừng.,nai; dáng nhẹ; rừng; con vật,Con nai có đặc điểm gì nổi bật?
animal_bear_vi_3_5,Con gấu,"Con gì có lông dày, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gấu,Con gấu có lông dày và thường được bé nhận ra ở rừng.,gấu; lông dày; rừng; con vật,Con gấu có đặc điểm gì nổi bật?
animal_panda_vi_3_5,Con gấu trúc,"Con gì có lông đen trắng, Sống ở rừng tre thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gấu trúc,Con gấu trúc có lông đen trắng và thường được bé nhận ra ở rừng tre.,gấu trúc; lông đen trắng; rừng tre; con vật,Con gấu trúc có đặc điểm gì nổi bật?
animal_tiger_vi_3_5,Con hổ,"Con gì có lông vằn, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hổ,Con hổ có lông vằn và thường được bé nhận ra ở rừng.,hổ; lông vằn; rừng; con vật,Con hổ có đặc điểm gì nổi bật?
animal_leopard_vi_3_5,Con báo,"Con gì có đốm trên lông, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con báo,Con báo có đốm trên lông và thường được bé nhận ra ở rừng.,báo; đốm trên lông; rừng; con vật,Con báo có đặc điểm gì nổi bật?
animal_wolf_vi_3_5,Con sói,"Con gì có tai nhọn, Sống ở rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sói,Con sói có tai nhọn và thường được bé nhận ra ở rừng.,sói; tai nhọn; rừng; con vật,Con sói có đặc điểm gì nổi bật?
animal_crocodile_vi_3_5,Con cá sấu,"Con gì có đuôi dài, Sống ở đầm nước thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá sấu,Con cá sấu có đuôi dài và thường được bé nhận ra ở đầm nước.,cá sấu; đuôi dài; đầm nước; con vật,Con cá sấu có đặc điểm gì nổi bật?
animal_hippo_vi_3_5,Con hà mã,"Con gì có miệng rộng, Sống ở sông hồ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hà mã,Con hà mã có miệng rộng và thường được bé nhận ra ở sông hồ.,hà mã; miệng rộng; sông hồ; con vật,Con hà mã có đặc điểm gì nổi bật?
animal_rhino_vi_3_5,Con tê giác,"Con gì có sừng trên mũi, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con tê giác,Con tê giác có sừng trên mũi và thường được bé nhận ra ở đồng cỏ.,tê giác; sừng trên mũi; đồng cỏ; con vật,Con tê giác có đặc điểm gì nổi bật?
animal_camel_vi_3_5,Con lạc đà,"Con gì có bướu trên lưng, Sống ở sa mạc thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con lạc đà,Con lạc đà có bướu trên lưng và thường được bé nhận ra ở sa mạc.,lạc đà; bướu trên lưng; sa mạc; con vật,Con lạc đà có đặc điểm gì nổi bật?
animal_kangaroo_vi_3_5,Con chuột túi,"Con gì có nhảy xa, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chuột túi,Con chuột túi có nhảy xa và thường được bé nhận ra ở đồng cỏ.,chuột túi; nhảy xa; đồng cỏ; con vật,Con chuột túi có đặc điểm gì nổi bật?
animal_koala_vi_3_5,Con gấu túi,"Con gì có ôm cành cây, Sống ở rừng cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gấu túi,Con gấu túi có ôm cành cây và thường được bé nhận ra ở rừng cây.,gấu túi; ôm cành cây; rừng cây; con vật,Con gấu túi có đặc điểm gì nổi bật?
animal_squirrel_vi_3_5,Con sóc,"Con gì có đuôi xù, Sống ở trên cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sóc,Con sóc có đuôi xù và thường được bé nhận ra ở trên cây.,sóc; đuôi xù; trên cây; con vật,Con sóc có đặc điểm gì nổi bật?
animal_mouse_vi_3_5,Con chuột,"Con gì có thân nhỏ, Sống ở góc nhà thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chuột,Con chuột có thân nhỏ và thường được bé nhận ra ở góc nhà.,chuột; thân nhỏ; góc nhà; con vật,Con chuột có đặc điểm gì nổi bật?
animal_porcupine_vi_3_5,Con nhím,"Con gì có lông gai, Sống ở bụi cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con nhím,Con nhím có lông gai và thường được bé nhận ra ở bụi cây.,nhím; lông gai; bụi cây; con vật,Con nhím có đặc điểm gì nổi bật?
animal_bat_vi_3_5,Con dơi,"Con gì có cánh mỏng, Sống ở hang thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con dơi,Con dơi có cánh mỏng và thường được bé nhận ra ở hang.,dơi; cánh mỏng; hang; con vật,Con dơi có đặc điểm gì nổi bật?
animal_owl_vi_3_5,Con cú mèo,"Con gì có mắt tròn, Sống ở cành cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cú mèo,Con cú mèo có mắt tròn và thường được bé nhận ra ở cành cây.,cú mèo; mắt tròn; cành cây; con vật,Con cú mèo có đặc điểm gì nổi bật?
animal_eagle_vi_3_5,Con đại bàng,"Con gì có cánh rộng, Sống ở bầu trời thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con đại bàng,Con đại bàng có cánh rộng và thường được bé nhận ra ở bầu trời.,đại bàng; cánh rộng; bầu trời; con vật,Con đại bàng có đặc điểm gì nổi bật?
animal_peacock_vi_3_5,Con chim công,"Con gì có đuôi xòe, Sống ở vườn cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim công,Con chim công có đuôi xòe và thường được bé nhận ra ở vườn cây.,chim công; đuôi xòe; vườn cây; con vật,Con chim công có đặc điểm gì nổi bật?
animal_sparrow_vi_3_5,Con chim sẻ,"Con gì có thân nhỏ, Sống ở mái nhà thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim sẻ,Con chim sẻ có thân nhỏ và thường được bé nhận ra ở mái nhà.,chim sẻ; thân nhỏ; mái nhà; con vật,Con chim sẻ có đặc điểm gì nổi bật?
animal_pigeon_vi_3_5,Con chim bồ câu,"Con gì có hiền lành, Sống ở sân nhà thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim bồ câu,Con chim bồ câu có hiền lành và thường được bé nhận ra ở sân nhà.,chim bồ câu; hiền lành; sân nhà; con vật,Con chim bồ câu có đặc điểm gì nổi bật?
animal_flamingo_vi_3_5,Con chim hồng hạc,"Con gì có chân dài, Sống ở hồ nước thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim hồng hạc,Con chim hồng hạc có chân dài và thường được bé nhận ra ở hồ nước.,chim hồng hạc; chân dài; hồ nước; con vật,Con chim hồng hạc có đặc điểm gì nổi bật?
animal_parrot_vi_3_5,Con vẹt,"Con gì có lông nhiều màu, Sống ở cành cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con vẹt,Con vẹt có lông nhiều màu và thường được bé nhận ra ở cành cây.,vẹt; lông nhiều màu; cành cây; con vật,Con vẹt có đặc điểm gì nổi bật?
animal_swan_vi_3_5,Con thiên nga,"Con gì có cổ dài, Sống ở hồ nước thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con thiên nga,Con thiên nga có cổ dài và thường được bé nhận ra ở hồ nước.,thiên nga; cổ dài; hồ nước; con vật,Con thiên nga có đặc điểm gì nổi bật?
animal_goose_vi_3_5,Con ngỗng,"Con gì có cổ dài, Sống ở sân vườn thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con ngỗng,Con ngỗng có cổ dài và thường được bé nhận ra ở sân vườn.,ngỗng; cổ dài; sân vườn; con vật,Con ngỗng có đặc điểm gì nổi bật?
animal_turkey_vi_3_5,Con gà tây,"Con gì có đuôi xòe, Sống ở nông trại thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gà tây,Con gà tây có đuôi xòe và thường được bé nhận ra ở nông trại.,gà tây; đuôi xòe; nông trại; con vật,Con gà tây có đặc điểm gì nổi bật?
animal_ant_vi_3_5,Con kiến,"Con gì có thân nhỏ, Sống ở dưới đất thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con kiến,Con kiến có thân nhỏ và thường được bé nhận ra ở dưới đất.,kiến; thân nhỏ; dưới đất; con vật,Con kiến có đặc điểm gì nổi bật?
animal_mosquito_vi_3_5,Con muỗi,"Con gì có cánh nhỏ, Sống ở gần nước thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con muỗi,Con muỗi có cánh nhỏ và thường được bé nhận ra ở gần nước.,muỗi; cánh nhỏ; gần nước; con vật,Con muỗi có đặc điểm gì nổi bật?
animal_fly_vi_3_5,Con ruồi,"Con gì có bay nhanh, Sống ở góc bếp thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con ruồi,Con ruồi có bay nhanh và thường được bé nhận ra ở góc bếp.,ruồi; bay nhanh; góc bếp; con vật,Con ruồi có đặc điểm gì nổi bật?
animal_dragonfly_vi_3_5,Con chuồn chuồn,"Con gì có cánh mỏng, Sống ở bờ ao thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chuồn chuồn,Con chuồn chuồn có cánh mỏng và thường được bé nhận ra ở bờ ao.,chuồn chuồn; cánh mỏng; bờ ao; con vật,Con chuồn chuồn có đặc điểm gì nổi bật?
animal_grasshopper_vi_3_5,Con châu chấu,"Con gì có chân bật xa, Sống ở bãi cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con châu chấu,Con châu chấu có chân bật xa và thường được bé nhận ra ở bãi cỏ.,châu chấu; chân bật xa; bãi cỏ; con vật,Con châu chấu có đặc điểm gì nổi bật?
animal_ladybug_vi_3_5,Con bọ rùa,"Con gì có lưng có chấm, Sống ở lá cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con bọ rùa,Con bọ rùa có lưng có chấm và thường được bé nhận ra ở lá cây.,bọ rùa; lưng có chấm; lá cây; con vật,Con bọ rùa có đặc điểm gì nổi bật?
animal_praying_mantis_vi_3_5,Con bọ ngựa,"Con gì có chân trước gập, Sống ở bụi cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con bọ ngựa,Con bọ ngựa có chân trước gập và thường được bé nhận ra ở bụi cây.,bọ ngựa; chân trước gập; bụi cây; con vật,Con bọ ngựa có đặc điểm gì nổi bật?
animal_earthworm_vi_3_5,Con giun đất,"Con gì có thân mềm, Sống ở trong đất thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con giun đất,Con giun đất có thân mềm và thường được bé nhận ra ở trong đất.,giun đất; thân mềm; trong đất; con vật,Con giun đất có đặc điểm gì nổi bật?
animal_caterpillar_vi_3_5,Con sâu bướm,"Con gì có thân nhiều đốt, Sống ở lá cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sâu bướm,Con sâu bướm có thân nhiều đốt và thường được bé nhận ra ở lá cây.,sâu bướm; thân nhiều đốt; lá cây; con vật,Con sâu bướm có đặc điểm gì nổi bật?
animal_silkworm_vi_3_5,Con tằm,"Con gì có thân nhỏ, Sống ở lá dâu thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con tằm,Con tằm có thân nhỏ và thường được bé nhận ra ở lá dâu.,tằm; thân nhỏ; lá dâu; con vật,Con tằm có đặc điểm gì nổi bật?
animal_spider_vi_3_5,Con nhện,"Con gì có tám chân, Sống ở góc vườn thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con nhện,Con nhện có tám chân và thường được bé nhận ra ở góc vườn.,nhện; tám chân; góc vườn; con vật,Con nhện có đặc điểm gì nổi bật?
animal_beetle_vi_3_5,Con bọ cánh cứng,"Con gì có vỏ cứng, Sống ở bụi cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con bọ cánh cứng,Con bọ cánh cứng có vỏ cứng và thường được bé nhận ra ở bụi cây.,bọ cánh cứng; vỏ cứng; bụi cây; con vật,Con bọ cánh cứng có đặc điểm gì nổi bật?
animal_seal_vi_3_5,Con hải cẩu,"Con gì có bơi giỏi, Sống ở biển lạnh thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hải cẩu,Con hải cẩu có bơi giỏi và thường được bé nhận ra ở biển lạnh.,hải cẩu; bơi giỏi; biển lạnh; con vật,Con hải cẩu có đặc điểm gì nổi bật?
animal_sea_lion_vi_3_5,Con sư tử biển,"Con gì có râu dài, Sống ở bờ biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sư tử biển,Con sư tử biển có râu dài và thường được bé nhận ra ở bờ biển.,sư tử biển; râu dài; bờ biển; con vật,Con sư tử biển có đặc điểm gì nổi bật?
animal_otter_vi_3_5,Con rái cá,"Con gì có thân dài, Sống ở dòng sông thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con rái cá,Con rái cá có thân dài và thường được bé nhận ra ở dòng sông.,rái cá; thân dài; dòng sông; con vật,Con rái cá có đặc điểm gì nổi bật?
animal_seahorse_vi_3_5,Con cá ngựa,"Con gì có dáng cong, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá ngựa,Con cá ngựa có dáng cong và thường được bé nhận ra ở biển.,cá ngựa; dáng cong; biển; con vật,Con cá ngựa có đặc điểm gì nổi bật?
animal_jellyfish_vi_3_5,Con sứa,"Con gì có thân mềm, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sứa,Con sứa có thân mềm và thường được bé nhận ra ở biển.,sứa; thân mềm; biển; con vật,Con sứa có đặc điểm gì nổi bật?
animal_coral_vi_3_5,San hô,"Con gì có nhiều nhánh, Sống ở đáy biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",San hô,San hô có nhiều nhánh và thường được bé nhận ra ở đáy biển.,san hô; nhiều nhánh; đáy biển; con vật,San hô có đặc điểm gì nổi bật?
animal_sea_snail_vi_3_5,Con ốc biển,"Con gì có vỏ xoắn, Sống ở bờ biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con ốc biển,Con ốc biển có vỏ xoắn và thường được bé nhận ra ở bờ biển.,ốc biển; vỏ xoắn; bờ biển; con vật,Con ốc biển có đặc điểm gì nổi bật?
animal_clam_vi_3_5,Con ngao,"Con gì có hai mảnh vỏ, Sống ở bãi cát thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con ngao,Con ngao có hai mảnh vỏ và thường được bé nhận ra ở bãi cát.,ngao; hai mảnh vỏ; bãi cát; con vật,Con ngao có đặc điểm gì nổi bật?
animal_shellfish_vi_3_5,Con sò,"Con gì có vỏ cứng, Sống ở bờ biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con sò,Con sò có vỏ cứng và thường được bé nhận ra ở bờ biển.,sò; vỏ cứng; bờ biển; con vật,Con sò có đặc điểm gì nổi bật?
animal_buffalo_vi_3_5,Con trâu,"Con gì có sừng cong, Sống ở đồng ruộng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con trâu,Con trâu có sừng cong và thường được bé nhận ra ở đồng ruộng.,trâu; sừng cong; đồng ruộng; con vật,Con trâu có đặc điểm gì nổi bật?
animal_goat_vi_3_5,Con dê,"Con gì có râu nhỏ, Sống ở sườn đồi thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con dê,Con dê có râu nhỏ và thường được bé nhận ra ở sườn đồi.,dê; râu nhỏ; sườn đồi; con vật,Con dê có đặc điểm gì nổi bật?
animal_donkey_vi_3_5,Con lừa,"Con gì có tai dài, Sống ở nông trại thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con lừa,Con lừa có tai dài và thường được bé nhận ra ở nông trại.,lừa; tai dài; nông trại; con vật,Con lừa có đặc điểm gì nổi bật?
animal_alpaca_vi_3_5,Con alpaca,"Con gì có lông mềm, Sống ở trang trại thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con alpaca,Con alpaca có lông mềm và thường được bé nhận ra ở trang trại.,alpaca; lông mềm; trang trại; con vật,Con alpaca có đặc điểm gì nổi bật?
animal_llama_vi_3_5,Con lạc đà không bướu,"Con gì có cổ dài, Sống ở vùng núi thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con lạc đà không bướu,Con lạc đà không bướu có cổ dài và thường được bé nhận ra ở vùng núi.,lạc đà không bướu; cổ dài; vùng núi; con vật,Con lạc đà không bướu có đặc điểm gì nổi bật?
